#|S
US-UT|T
US-VA|T
US-VT|T
US-WA|T
US-WI|T
US-WV|T
US-WY|T
UT|T
UTAH|T
VA|T
VALLEY|F
VALLEYS|F
VALLY|F
VDCT|F
VERMONT|T
VIA|F
VIADCT|F
VIADUCT|F
VIEW|F
VIEWS|F
VILL|F
VILLAG|F
VILLAGE|F
VILLAGES|F
VILLE|F
VILLG|F
VILLIAGE|F
VIRG|T
VIRGINIA|T
VIS|F
VIST|F
VISTA|F
VL|F
VLG|F
VLGS|F
VLLY|F
VLY|F
VLYS|F
VST|F
VSTA|F
VT|T
VW|F
VWS|F
W|D
W VA|T
W VIRG|T
WA|T
WALK|F
WALKS|F
WALL|F
WASH|T
WASH DC|T
WASHINGTON|T
WAY|F
WAYS|F
WELL|F
WELLS|F
WEST|D
WEST VIRGINIA|T
WI|T
WIS|T
WISC|T
WISCONSIN|T
WL|F
WLS|F
WN|T
WS|T
WV|T
WY|F
WYO|T
WYOMING|T
WYS|F
XING|F
XRD|F
XRDS|F
UNIVERSITY|Z
UNIV|Z
SCHOOL|Z
AEROPUERTO|F
ALDEA|F
ALMÁCIGO|F
ALMIRANTE|F
ALTURAS|F
ANCHA|F
ANGOSTO|F
ARENAL|F
ARRECIFE|F
ATAJO|F
AVENIDA|F
APO|M
FPO|M
BALNEARIO|F
BARRANCO|F
BORINQUEN|F
CALLE|F
CAMINO|F
CAMPO|F
CANCIÓN|F
CARRETERA|F
CARRIL|F
CASA|F
CERRO|F
CIELO|F
CIRCUNVALACIÓN|F
CIUDAD|F
COLINA|F
COMUNIDAD|F
CONDOMINIO|F
CORREDOR|F
CORTADA|F
COSTA|F
CUARTEL|F
EDIFICIO|F
ENTRADA|F
ESCALINATA|F
ESQUINA|F
ESTACIÓN|F
ESTADIO|F
ESTE|F
EXTENSION|F
FILA|F
FRENTE|F
GALERÍA|F
HACIENDA|F
HOTEL|F
INTERSECCIÓN|F
ISLA|F
JARDINES|F
LADO|F
LAGUNA|F
LLANO|F
LOCALIDAD|F
MALECÓN|F
MANZANA|F
MARGEN|F
MERCADO|F
MONTAÑA|F
NORTE|F
OESTE|F
PALACIO|F
PALMA|F
PANORAMA|F
PARAJE|F
PARCELAS|F
PARQUE|F
PASAJE|F
PASEO|F
POBLADO|F
PUEBLO|F
PUENTE|F
PUERTO|F
QUEBRADA|F
QUINTAS|F
